2025-01-08 14:11:18,790 | INFO     | 12564 | 21464 | document_processing.py:192 | _process_image | Validation and Processing Completed
2025-01-08 14:11:18,790 | WARNING  | 12564 | 21464 | document_processing.py:201 | _process_image | Invalid result received, retrying...
2025-01-08 14:11:18,791 | INFO     | 12564 | 21464 | document_processing.py:118 | _process_image | Image processing complete
2025-01-08 14:11:18,791 | INFO     | 12564 | 21464 | document_processing.py:121 | _process_image | LLM Processing Started
2025-01-08 14:11:18,791 | INFO     | 12564 | 21464 | document_processing.py:359 | _gemini_model | GEMINI CALL!
2025-01-08 14:11:29,957 | INFO     | 12564 | 21464 | document_processing.py:123 | _process_image | LLM Processing Completed
2025-01-08 14:11:29,958 | INFO     | 12564 | 21464 | document_processing.py:126 | _process_image | Validation and Processing Started
2025-01-08 14:11:30,044 | ERROR    | 12564 | 21464 | document_processing.py:418 | _process_site_data | Failed to Process Site Data: max() iterable argument is empty
2025-01-08 14:11:30,045 | INFO     | 12564 | 21464 | document_processing.py:192 | _process_image | Validation and Processing Completed
2025-01-08 14:11:30,045 | WARNING  | 12564 | 21464 | document_processing.py:201 | _process_image | Invalid result received, retrying...
2025-01-08 14:11:31,217 | INFO     | 12564 | 21464 | document_processing.py:63 | process_document | Starting processing of C:\Users\SETHAN~1\AppData\Local\Temp\tmpwr76_3vu.tmp
2025-01-08 14:11:31,223 | INFO     | 12564 | 21464 | document_processing.py:118 | _process_image | Image processing complete
2025-01-08 14:11:31,224 | INFO     | 12564 | 21464 | document_processing.py:121 | _process_image | LLM Processing Started
2025-01-08 14:11:31,224 | INFO     | 12564 | 21464 | document_processing.py:359 | _gemini_model | GEMINI CALL!
2025-01-08 14:11:49,533 | INFO     | 12564 | 21464 | document_processing.py:123 | _process_image | LLM Processing Completed
2025-01-08 14:11:49,534 | INFO     | 12564 | 21464 | document_processing.py:126 | _process_image | Validation and Processing Started
2025-01-08 14:11:50,124 | INFO     | 12564 | 21464 | document_processing.py:192 | _process_image | Validation and Processing Completed
2025-01-08 14:11:50,124 | INFO     | 12564 | 21464 | document_processing.py:196 | _process_image | Document processed successfully
2025-01-08 14:11:50,713 | INFO     | 12564 | 21464 | document_processing.py:63 | process_document | Starting processing of C:\Users\SETHAN~1\AppData\Local\Temp\tmpyj90_0zu.tmp
2025-01-08 14:11:50,719 | INFO     | 12564 | 21464 | document_processing.py:118 | _process_image | Image processing complete
2025-01-08 14:11:50,719 | INFO     | 12564 | 21464 | document_processing.py:121 | _process_image | LLM Processing Started
2025-01-08 14:11:50,720 | INFO     | 12564 | 21464 | document_processing.py:359 | _gemini_model | GEMINI CALL!
2025-01-08 14:11:51,831 | INFO     | 12564 | 21464 | document_processing.py:368 | _gemini_model | GEMINI Failed to Extract Site Plan Data: 429 Resource has been exhausted (e.g. check quota).
2025-01-08 14:11:51,831 | ERROR    | 12564 | 21464 | document_processing.py:205 | _process_image | Processing attempt 1 failed: 429 Resource has been exhausted (e.g. check quota).
2025-01-08 14:11:53,832 | INFO     | 12564 | 21464 | document_processing.py:118 | _process_image | Image processing complete
2025-01-08 14:11:53,832 | INFO     | 12564 | 21464 | document_processing.py:121 | _process_image | LLM Processing Started
2025-01-08 14:11:53,833 | INFO     | 12564 | 21464 | document_processing.py:359 | _gemini_model | GEMINI CALL!
2025-01-08 14:11:55,364 | INFO     | 12564 | 21464 | document_processing.py:368 | _gemini_model | GEMINI Failed to Extract Site Plan Data: 429 Resource has been exhausted (e.g. check quota).
2025-01-08 14:11:55,364 | ERROR    | 12564 | 21464 | document_processing.py:205 | _process_image | Processing attempt 2 failed: 429 Resource has been exhausted (e.g. check quota).
2025-01-08 14:11:59,365 | INFO     | 12564 | 21464 | document_processing.py:118 | _process_image | Image processing complete
2025-01-08 14:11:59,366 | INFO     | 12564 | 21464 | document_processing.py:121 | _process_image | LLM Processing Started
2025-01-08 14:11:59,366 | INFO     | 12564 | 21464 | document_processing.py:359 | _gemini_model | GEMINI CALL!
2025-01-08 14:12:18,236 | INFO     | 12564 | 21464 | document_processing.py:123 | _process_image | LLM Processing Completed
2025-01-08 14:12:18,237 | INFO     | 12564 | 21464 | document_processing.py:126 | _process_image | Validation and Processing Started
2025-01-08 14:12:18,553 | INFO     | 12564 | 21464 | document_processing.py:192 | _process_image | Validation and Processing Completed
2025-01-08 14:12:18,553 | INFO     | 12564 | 21464 | document_processing.py:196 | _process_image | Document processed successfully
2025-01-08 14:27:49,003 | INFO     | 6372 | 17836 | document_processing.py:63 | process_document | Starting processing of C:\Users\SETHAN~1\AppData\Local\Temp\tmporfurzs6.tmp
2025-01-08 14:27:49,233 | INFO     | 6372 | 17836 | document_processing.py:118 | _process_image | Image processing complete
2025-01-08 14:27:49,234 | INFO     | 6372 | 17836 | document_processing.py:121 | _process_image | LLM Processing Started
2025-01-08 14:27:49,236 | INFO     | 6372 | 17836 | document_processing.py:359 | _gemini_model | GEMINI CALL!
2025-01-08 14:27:58,256 | INFO     | 6372 | 17836 | document_processing.py:123 | _process_image | LLM Processing Completed
2025-01-08 14:27:58,256 | INFO     | 6372 | 17836 | document_processing.py:126 | _process_image | Validation and Processing Started
