2025-01-08 14:07:34,558 | INFO     | 20640 | 20644 | site_data_processing.py:91 | find_reference_point | Finding reference point among 7 points
2025-01-08 14:07:34,559 | INFO     | 20640 | 20644 | site_data_processing.py:113 | find_reference_point | Reference point found at index 6 with score 0.000835608036346865
2025-01-08 14:07:34,559 | INFO     | 20640 | 20644 | site_data_processing.py:123 | corr_arrange_points | Arranging 6 points
2025-01-08 14:07:34,560 | INFO     | 20640 | 20644 | site_data_processing.py:322 | process_land_data | Land data processing completed successfully
2025-01-08 14:08:06,168 | INFO     | 20640 | 20644 | site_data_processing.py:37 | __init__ | Initializing LandDataProcessor
2025-01-08 14:08:06,241 | INFO     | 20640 | 20644 | site_data_processing.py:175 | process_land_data | Starting land data processing
2025-01-08 14:08:07,193 | INFO     | 20640 | 20644 | site_data_processing.py:235 | process_land_data | Processing boundary coordinates
2025-01-08 14:08:07,426 | INFO     | 20640 | 20644 | site_data_processing.py:91 | find_reference_point | Finding reference point among 7 points
2025-01-08 14:08:07,428 | INFO     | 20640 | 20644 | site_data_processing.py:113 | find_reference_point | Reference point found at index 6 with score 0.000835608036346865
2025-01-08 14:08:07,428 | INFO     | 20640 | 20644 | site_data_processing.py:123 | corr_arrange_points | Arranging 6 points
2025-01-08 14:08:07,429 | INFO     | 20640 | 20644 | site_data_processing.py:322 | process_land_data | Land data processing completed successfully
2025-01-08 14:11:09,397 | INFO     | 12564 | 21464 | site_data_processing.py:37 | __init__ | Initializing LandDataProcessor
2025-01-08 14:11:09,605 | INFO     | 12564 | 21464 | site_data_processing.py:175 | process_land_data | Starting land data processing
2025-01-08 14:11:09,606 | ERROR    | 12564 | 21464 | site_data_processing.py:231 | process_land_data | Error processing point at index 0: list index out of range
2025-01-08 14:11:09,611 | ERROR    | 12564 | 21464 | site_data_processing.py:231 | process_land_data | Error processing point at index 1: list index out of range
2025-01-08 14:11:09,614 | ERROR    | 12564 | 21464 | site_data_processing.py:231 | process_land_data | Error processing point at index 2: list index out of range
